Iteration    User           Nice      System       Idle          IOWait          IRQ        SoftIRQ      Steal        Guest        Guest Nice   CPU Usage (%)
    1       649408          908       150055  1.90452e+07        25580            0         6254            0            0            0          4.18673
    2       649539          908       150089  1.90457e+07        25582            0         6254            0            0            0          20.7196
    3       649840          908       150116  1.90461e+07        25582            0         6254            0            0            0          24.8898
    4       649990          908       150147  1.90468e+07        25582            0         6254            0            0            0          22.1814
    5       650137          908       150176  1.90474e+07        25586            0         6254            0            0            0          22.2772
    6       650252          908       150207  1.90498e+07        25586            0         6254            0            0            0          18.2272
    7       650398          908       150239  1.90487e+07        25586            0         6254            0            0            0          22.1393
    8       650546          908       150270  1.90493e+07        25587            0         6254            0            0            0          22.2772
    9       650674          908       150296  1.90499e+07        25587            0         6255            0            0            0          19.4969
   10       650833          908       150327  1.90506e+07        25587            0         6255            0            0            0          23.2558
   11       650981          908       150352  1.90512e+07        25588            0         6255            0            0            0          21.4815
   12       651124          908       150382  1.90518e+07        25588            0         6255            0            0            0          21.3598
   13       651259          908       150417  1.90525e+07        25589            0         6256            0            0            0          21.2346
   14       651447          908       150452  1.90531e+07        25589            0         6256            0            0            0          27.4969
   15       651654          908       150492  1.90536e+07        25589            0         6256            0            0            0          30.6452
   16       651791          908       150526  1.90542e+07        25589            0         6257            0            0            0          21.5809
   17       651937          908       150558  1.90549e+07        25593            0         6258            0            0            0          22.6766
   18       652097          908       150581  1.90555e+07        25594            0         6258            0            0            0          22.9141
   19       652259          908       150615  1.90561e+07        25594            0         6258            0            0            0          23.8443
   20       652422          908       150650  1.90567e+07        25594            0         6259            0            0            0          24.2979
   21       652593          908       150682  1.90573e+07        25594            0         6259            0            0            0          25.0617
   22       652725          908       150710  1.90508e+07        25594            0         6259            0            0            0          20.1005
   23       652863          908       150727  1.90586e+07        25598            0         6260            0            0            0          19.9795
   24       653013          908       150753  1.90592e+07        25598            0         6260            0            0            0          21.8634
   25       653187          908       150785  1.90599e+07        25598            0         6261            0            0            0          25.0909
   26       653325          908       150814  1.90605e+07        25598            0         6261            0            0            0          20.6428
   27       653464          908       150844  1.90611e+07        25598            0         6261            0            0            0          21.1514
   28       653615          908       150876  1.90618e+07        25604            0         6261            0            0            0          23.1618
   29       653754          908       150909  1.90624e+07        25604            0         6261            0            0            0          21.2608
   30       653902          908       150942  1.90683e+07        25605            0         6261            0            0            0          22.1951
