Disk Path                                         Total Disk Space (GB)                             Available Disk Space (GB)                         File System Block Size                            Fundamental File System Block Size                Total Number of Blocks on File System             Total Number of Free Blocks                       NoFB Available to Non-privileged Process          Total Number of File Serial Numbers               Total Number of Free File Serial Numbers          NoFFileSerialNAvailabletoNonprivilegedProcess     File System ID                                    File System Flags                                 Maximum File Name Length                          
/                                                 62.46                                             44.69                                             4096                                              4096                                              16372877                                          12555404                                          11715584                                          4186112                                           3959159                                           3959159                                           16491922330293824147                              4096                                              255                                               
/                                                 62.46                                             44.69                                             4096                                              4096                                              16372877                                          12555404                                          11715584                                          4186112                                           3959159                                           3959159                                           16491922330293824147                              4096                                              255                                               
/                                                 62.46                                             44.69                                             4096                                              4096                                              16372877                                          12555404                                          11715584                                          4186112                                           3959159                                           3959159                                           16491922330293824147                              4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917468                                           5538371                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917467                                           5538370                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917467                                           5538370                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917466                                           5538369                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917464                                           5538367                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917463                                           5538366                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917463                                           5538366                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917461                                           5538364                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917461                                           5538364                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
/home                                             27.99                                             21.13                                             4096                                              4096                                              7338239                                           5917460                                           5538363                                           1875968                                           1831100                                           1831100                                           6042912314795810409                               4096                                              255                                               
