Network Connections:
Local Address:           Remote Address:          State:
192.168.10.102:50386     31.13.64.18:443          01
192.168.10.102:57104     52.139.250.209:443       01
192.168.10.102:53484     142.251.12.188:5228      01
192.168.10.102:42274     52.108.79.31:443         01
192.168.10.102:35722     52.139.250.209:443       01
192.168.10.102:50764     157.240.1.58:443         01
192.168.10.102:50394     31.13.64.18:443          01
192.168.10.102:59222     31.13.64.18:443          01
192.168.10.102:59274     35.190.80.1:443          01
192.168.10.102:49988     31.13.64.11:443          01
192.168.10.102:45262     140.82.113.25:443        01
127.0.0.1:631            0.0.0.0:0                0A
127.0.0.53:53            0.0.0.0:0                0A
